지역,가맹점명,분류,주소
서울,한국마술문화협회,공연,"서울 마포구 월드컵로 14길 42, 지층 "
서울,삼천리자전거신월2동점,체육용품,서울 양천구 오목로 61  
서울,삼천리자전거 서초방배점,체육용품,서울특별시 서초구  동광로12길 52 태성빌딩 
서울,삼천리자전거 마포점,체육용품,서울특별시 마포구  백범로 152 공덕파크자이 201동 3호
서울,삼천리자전거 상계점,체육용품,"서울특별시 노원구 한글비석로 396(상계동, 벽산아파트) 109동 1층 35 "
서울,삼천리자전거 신구로점,체육용품,서울특별시 구로구  공원로 27 대림역대성스카이렉스 
서울,CGV 미아,영상,서울 강북구 도봉로 34트레지오 쇼핑몰 9층 일부 1 (미아동) 
서울,갈현2동주민자치위원회,문화체험,서울특별시 은평구  연서로27길 31-6 갈현2동주민센터 
서울,미하북스,도서,"서울 은평구 증산로21길 10-1, 1층(신사동) "
서울,삼천리자전거 잠실점,체육용품,서울특별시 송파구  석촌호수로 144 
서울,삼천리자전거 수락산점,체육용품,서울특별시 노원구  동일로243길 29 호
서울,라켓매니아,체육용품,서울특별시 강서구  양천로 125 장미아파트 방화2-1상가 107호
서울,주식회사 북새통 문고,도서,서울 마포구 홍익로6길 57(동교동) 
서울,금천장애인종합복지관,문화체험,서울 금천구 시흥대로 101길 17 
서울,증산동 주민센터,문화체험,서울특별시 은평구  증산서길 89 증산동주민센터 
서울,휴먼컴퍼니,공연,서울특별시 종로구  대학로11길 49 
서울,그레뱅뮤지엄,미술,서울 중구 을지로 23 
서울,㈜키즈에듀,공연,"서울 마포구 마포대로 109, 101-1902 "
서울,위로컴퍼니,공연,서울 종로구 대학로 12길 50 
서울,송파어린이문화회관,문화체험,서울특별시 송파구  중대로 235 송파어린이문화회관 
서울,응암2동 주민자치위원회,문화체험,서울 은평구 백련산로 100 
서울,한길문고,도서,"서울 동대문구 답십리로 289, 지하1층(장안동) "
서울,불광1동 주민자치위원회,문화체험,서울 은평구 진흥로15길 10 
서울,공손서점,도서,"서울 광진구 아차산로 70길 17-17, 103호 "
서울,알라딘 중고서점 가로수길점,도서,서울특별시 강남구  강남대로152길 45 우림빌딩 
서울,놀숲 사당역점,도서,서울 관악구 과천대로 941 6층 
서울,학창문고,도서,서울특별시 서초구  서초대로26길 3 
서울,당산2동 주민자치위원회,문화체험,서울 당산로 41가길 7 
서울,신길7동 주민자치위원회,문화체험,서울특별시 영등포구  여의대방로43길 10 신길7동주민센터 
서울,삼천리자전거 잠원반포점,체육용품,서울특별시 서초구  신반포로23길 41 신반포2지구아파트 잠원상가 110호
서울,삼천리자전거 모래내점,체육용품,서울특별시 서대문구  가재울로4길 18 
서울,당산1동 주민자치위원회,문화체험,서울 영등포구 양산로23길 11 
서울,국립박물관문화재단 종로지점,미술,서울 종로구 삼청로 37 
서울,삼천리자전거 홍제점,체육용품,서울특별시 서대문구  세검정로 39 
서울,㈜현성티엔엠,여행사,서울 강남구 테헤란로 77길 11-10 현성타워 3층 
서울,삼천리자전거 봉화산역점,체육용품,서울 중랑구 신내로 225  
서울,삼천리자전거 마곡나루점,체육용품,서울 강서구 마곡서1로 132 상가동1층102호 
서울,여의동 주민자치위원회,문화체험,서울특별시 영등포구  국제금융로 124 여의동주민센터 
서울,삼천리자전거 갈현점,체육용품,서울특별시 은평구  갈현로 242 뉴페리온A 
서울,하나스튜디오,미술,서울 송파구 풍납동 222-1011층102 
서울,(주)조선뉴스프레스,도서,"서울 양천구 공항대로 540, 5층 "
서울,진엔터컴,공연,서울 양천구 남부순환로74길 3-7 가-302 
서울,영상컴포니 시마,미술,서울 양천구 등촌로 182 
서울,강서책서점(강서서점),도서,서울특별시 양천구  목동중앙남로 28 
서울,(주)서울지에스렌트카,교통수단,서울 양천구 목동  657-16 가동1층1호 
서울,GK서적,도서,서울 양천구 목동  905-22 목동트윈빌 113-2 
서울,성신칼라,미술,서울 양천구 목동 907 현대월드타워 122 
서울,렌즈속이야기,미술,서울 양천구 목동 917-6 행복한세상백화점 1층 
서울,아이뽀또 스튜디오,미술,서울 양천구 오목로 299(목동) 이마트목동점트라팰리스 지하1층 
서울,21세기문고,도서,서울 강남구 남부순환로359길 31 (도곡동) 
서울,salon de H,미술,서울특별시 강남구  삼성로 739 이따리아나빌딩 살롱드H
서울,좋은사진 좋은느낌,미술,서울 강남구 삼성로96길 27 진솔빌딩 3층 
서울,스튜디오 보다(boda),미술,서울 강남구 선릉로 718 4층 
서울,심 스튜디오(SIM Studio),미술,서울 강남구 선릉로 758-2 지하1층 
서울,하루에스튜디오,미술,서울 강남구 선릉로112길 86 JIS빌딩 
서울,(주) 에이치렌터카,교통수단,서울 강남구 학동로 342 7층 723호 
서울,STORY IN,미술,서울 강남구 선릉로131길 22-3 B1층 
서울,(주)코리아투어,여행사,서울 강남구 선릉로132길 13-6 (청담동) 
서울,주식회사 스튜디오에스,미술,서울특별시 서초구 신반포로41길 7(잠원동) 
서울,나이스포토,미술,서울 광진구 중곡 1동 230-11 광남캐스필 106 
서울,자매서점,도서,서울특별시 광진구  용마산로22길 19 1층
서울,서래 스튜디오,미술,서울특별시 강남구  봉은사로34길 9 서래스튜디오
서울,스튜디오147(Studio147),미술,서울 동작구 사당로30길 9-1 원진빌딩B1층 
서울,더북스한길서적 장승배기점,도서,서울특별시 동작구  상도로 207 삼화빌딩 2층
서울,더북스한길서점,도서,서울 동작구 상도로 347 (상도동) 
서울,문화사진관,미술,서울 동작구 여의대방로 188-1(대방동)  
서울,바른손신대방,도서,서울 동작구 신대방동 644-2 
서울,(주)롯데렌터카 구로디지털영업소,교통수단,서울 구로구 디지털로 300번지 
서울,다보사,도서,서울 동작구 양녕로38길 6 (상도1동) 
서울,경상도사진관,미술,서울 동작구 흑석동 100-46 
서울,캘리포니아관광호텔,숙박,서울특별시 송파구 송파대로28길 11(가락동) 
서울,라마모텔,숙박,서울 광진구 면목로 183-1(중곡동) 
서울,문모텔,숙박,서울특별시 광진구  동일로 440 문모텔 
서울,코지,숙박,서울 광진구 중곡동92-5 
서울,미즈엔스튜디오,미술,서울 광진구 천호대로 606 
서울,건대구내서점,도서,서울 광진구 능동로120번지 건국대학교 공학관A동1층 학생회관 1층 
서울,믿음성경사,도서,서울 구로구 개봉로 27 (개봉동) 
서울,미시건,숙박,서울 구로구 개봉본동178-13 
서울,마스스튜디오,미술,서울 송파구 동남로 119 6층 
서울,세미17분현상소,미술,서울 송파구 마천동 126 
서울,스튜디오코닥,미술,서울 송파구 마천동 308-31 
서울,대영,숙박,서울 송파구 마천로 260 대영장 (거여동) 
서울,가람교육,도서,서울특별시 송파구  동남로23가길 4-8 태성드림빌 202호
서울,한미서적,도서,서울 송파구 문정동 516 가든파이브라이프F-4096호 
서울,(자)경인렌트카 송파영업소,교통수단,서울 송파구 문정동 충민로 66 가든파이브라이프 YB-1047 
서울,실론호텔,숙박,서울 송파구 오금로11길 11-11  
서울,IMT 모텔,숙박,서울 송파구 방이동 올림픽로34길 5 선학파크 
서울,한양스튜디오,미술,서울 송파구 방이동110-6 
서울,TM모텔,숙박,서울 송파구 방이동48-10 
서울,초이스모텔,숙박,서울 송파구 방이동48-12 
서울,LG아트센터,공연,서울특별시 강남구  논현로 508 GS강남타워 
서울,주식회사 알북스,도서,서울 강남구 논현로 509에이 715호 
서울,카이로스 스튜디오,미술,서울 강남구 논현로14길 20 지하1층 
서울,신신칼라,미술,서울 강남구 논현로151길 10 대신빌딩1층 
서울,산스튜디오,미술,서울 강남구 논현로26길 12-4 3층 
서울,경원여관,숙박,서울 관악구 신림동1길 26-4 
서울,놀숲 신림역점,도서,서울 관악구 신림로 321 (신림동) 지하1층 
서울,가고파스튜디오,미술,서울 관악구 쑥고개로 137 . 
서울,정음통상,음악,서울특별시 관악구  조원로 13 201호
서울,중곡서점,도서,서울 광진구  능동로49길 40 (중곡3동) 
서울,영원한 미소,미술,서울 강서구 양천로 600 5층 
서울,아시아나항공(주),교통수단,서울 강서구 오정로 443-83(오쇠동) 
서울,메이필드호텔 (정림개발㈜),숙박,서울특별시 강서구  방화대로 94 메이필드호텔 
서울,에스모텔,숙박,서울 강서구 우장산로 128(S모텔) 
서울,예림서점,도서,서울특별시 강서구  곰달래로 227 
서울,현예술기획 스튜디오,미술,서울 강서구 화곡8동340-47 
서울,광진서적,도서,서울 광진구 광나루로36길 76 
서울,24게스트하우스 신촌,숙박,서울 마포구 신촌로18길 9 2층 (노고산동)  
서울,제일 스튜디오,미술,서울 마포구 아현동 437-3 고려아카데미텔 23 
서울,경문사,도서,서울 마포구 와우산로 174  
서울,레인보우관광호텔,숙박,서울 강서구 화곡1동  924-24 
서울,호텔드어반,숙박,서울특별시 강서구  곰달래로24길 35 드어반 
서울,원스튜디오,미술,"서울 강서구 화곡로 296(화곡동, 강서아이파크) 109호 "
서울,칼튼호텔,숙박,서울 강서구 화곡동1110-3 
서울,모두투어 공덕역점(리치모아),여행사,서울특별시 마포구  마포대로 127 풍림브이아이피텔 모두투어 공덕역점
서울,리치,숙박,서울 마포구 노고산동 106-24 리치호텔 
서울,호텔엠,숙박,서울 마포구 노고산동 백범로4길 14 몬타나모텔   (노고산동) 
서울,정다운문고,도서,서울특별시 마포구  대흥로 94 크로바빌딩 지하1층 
서울,한일여관,숙박,서울 마포구 도화동  201-56 
서울,근현대디자인박물관,미술,서울특별시 마포구  와우산로30길 36 
서울,(주)파노라마여행사,여행사,서울 도봉구 방학동 720-33 112-1호 
서울,스텔라여행사(주),여행사,서울 마포구 도화동 마포대로 52 고려아카데미텔   626 
서울,온고당서점,도서,서울특별시 마포구  월드컵북로 41 1층
서울,(주)롯데렌터카 신촌지점,교통수단,서울 마포구 동교로 174번지 2층 
서울,책방숨어있는책,도서,서울특별시 마포구  신촌로12길 30 지하1층
서울,호텔 봄,숙박,서울 송파구 백제고분로 7길 3-16(잠실동 다비드호텔) 
서울,삼전칼라현상소,미술,서울 송파구 백제고분로 202(삼전동)  
서울,한고서적,도서,서울특별시 송파구  가락로 31 동승빌딩 지하 1층 한고서적
서울,마중물서점,도서,서울특별시 송파구  삼전로 99 대성빌딩 지층
서울,호텔 레이크,숙박,서울 송파구 석촌동 158 
서울,한길서점,도서,서울특별시 강남구  삼성로 237 
서울,(유한)아시아렌터카,교통수단,서울 송파구 송파1동 84~96 95-19 
서울,나다르 스튜디오,미술,서울 성동구 성수 1가 1동 218-2번지 
서울,일신서점,도서,"서울 송파구 송파대로38길 2-9, 110호 (송파동) "
서울,백제스튜디오,미술,서울 송파구 송파동 147-1 
서울,(주) 두드림멀티미디어,미술,서울 송파구 송파동 17-9 2층 
서울,하이투어,여행사,서울 송파구 송파동 송파대로 456 웅현빌딩 
서울,잠실화방,미술,서울특별시 송파구  가락로 145 승진빌딩 
서울,베이비플라워,미술,"서울특별시 강동구  천호대로 1153 고운빌딩 3층, 5층"
서울,(주)투어유니,여행사,서울 강남구 도곡동 논현로34길 16 
서울,(주)타임앤서준스튜디오,미술,서울 강남구 신사동 561-9번지 동문빌딩 302호 
서울,씨엘스튜디오,미술,서울 강남구 도산대로30길 21 지하 
서울,VIEW스튜디오,미술,서울 강남구 도산대로45길 10-7 지하1층 
서울,청춘바이 이동훈,미술,서울 강남구 도산대로49길 35 
