지역,가맹점명,분류,주소,전화번호
서울,정보화마을 농촌체험,관광지,서울특별시 강남구  테헤란로25길 50 304호,1833-2990
서울,(주)하나투어,여행사,서울특별시 종로구  인사동5길 41 하나빌딩 ,1577-1233
서울,하나프리티켓,공연,서울특별시 종로구  인사동5길 41 하나빌딩 ,1566-6668
서울,NH여행,여행사,서울특별시 서대문구  통일로 81 임광빌딩 ,1899-0582
서울,(주)롯데월드 아쿠아리움,관광지,서울특별시 송파구  올림픽로 300 ,1661-2000
서울,주식회사 호미화방,미술,서울특별시 마포구  홍익로3길 20 서교오피스텔 ,02-336-8181
서울,(주)피엠씨프러덕션 난타,공연,서울특별시 종로구  대학로 57 홍익대학교대학로캠퍼스 11층,02-739-8288
서울,노원문화예술회관,공연,서울특별시 노원구  중계로 181 노원문화예술회관 ,02-2289-3400
서울,(주)신시컴퍼니,공연,서울특별시 서초구  논현로5길 31-14 예일빌딩 ,02-577-1987
서울,재단법인 세종문화회관,공연,서울특별시 종로구  세종대로 175 ,02-399-1000
서울,(재)마포문화재단,공연,서울특별시 마포구  대흥로20길 28 마포아트센터 ,02-3274-8500
서울,아르코예술극장,공연,서울특별시 종로구  대학로8길 7 한국문예회관 ,02-3668-0007
서울,정태영삼(㈜스마트인피니),여행사,서울특별시 강남구  압구정로42길 27 한국종합기술개발공사 3층,1661-9339
서울,롯데컬처웍스㈜롯데시네마 건대입구(온라인),영상,서울특별시 광진구 아차산로 272 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 김포공항(온라인),영상,서울특별시 강서구  하늘길 38 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 노원(온라인),영상,"서울 노원구 동일로 1414 (상계동, 롯데백화점노원점) 10층 ",1544-8855
서울,롯데컬처웍스㈜롯데시네마 독산(온라인),영상,서울특별시 금천구 시흥대로 399 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 수유(온라인),영상,서울특별시 강북구 도봉로 30810-14층 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 신도림(온라인),영상,"서울특별시 구로구 경인로 662제타워동 7,8층 ",1544-8855
서울,롯데컬처웍스㈜롯데시네마 신림(온라인),영상,서울 관악구 신림동1641-2 포도몰 10층-15층 ,1544-8855
서울,㈜파랑새투어,여행사,서울특별시 중구  무교로 32 효령빌딩 ,02-755-8555
서울,롯데컬처웍스㈜롯데시네마 에비뉴엘(온라인),영상,"서울 중구 소공동에비뉴엘 6층, 7층 ",1544-8855
서울,롯데컬처웍스㈜롯데시네마 영등포(온라인),영상,"서울 영등포구 경인로 102길 13 (영등포동, 시네마동) 7층 ",1544-8855
서울,롯데컬처웍스㈜롯데시네마 용산(온라인),영상,서울특별시 용산구 청파로 744~5층 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 월드타워(온라인),영상,서울특별시 송파구 올림픽로 300엔터동롯데시네마 5~11층 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 청량리(온라인),영상,서울 동대문구 전농동591-53 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 합정(온라인),영상,서울 마포구 합정동메세나폴리스 2층 ,1544-8855
서울,롯데컬처웍스㈜롯데시네마 홍대입구(온라인),영상,서울특별시 마포구 양화로 176 ,1544-8855
서울,홍익여행㈜,여행사,서울특별시 중구  통일로 26 한일빌딩 12층,02-717-1002
서울,대한극장,영상,서울특별시 중구  퇴계로 212 대한극장 ,02-3393-3500
서울,펜션라이프,숙박,서울특별시 강남구  논현로75길 8 비드 빌딩 ,1544-7317
서울,대한항공,교통수단,서울특별시 강서구  하늘길 260 대한항공 ,02-2656-7114
서울,CGV,영상,서울특별시 용산구  한강대로23길 55 용산민자역사 아이파크몰 6층,1544-1122
서울,교보문고,도서,서울특별시 종로구  종로 1 교보생명빌딩 ,1544-1900
서울,(주)여행박사,여행사,서울특별시 용산구  한강대로 313 ,02-6717-2700
서울,티머니(고속버스),교통수단,서울특별시 서초구  신반포로 194 강남고속버스터미널 ,1644-9030
서울,노랑풍선,여행사,"서울특별시 중구 수표로 31, 노랑풍선빌딩 ",1588-4954
서울,예림당,도서,서울특별시 성동구  아차산로 153 예림출판문화센터 ,02-566-1004
서울,도서출판 점자 (주식회사 도서출판점자),도서,"서울 성동구 아차산로17길 57, 1203호 (성수동2가, 일신건영휴먼테코) ",02-3426-7511
서울,롯데컬처웍스㈜롯데시네마 서울대입구(온라인),영상,서울특별시 관악구 남부순환로 182010~12층 ,1544-8855
서울,서울레코드,음악,서울특별시 종로구  종로 154 서울레코드,02-2265-9298
서울,웨슬리퀘스트안양KGC 인삼공사 배구단 (KGC인삼공사 스포츠센터),스포츠관람,서울특별시 마포구  성암로 189 중소기업 DMC 타워 8층 웨슬리퀘스트,02-752-8041
서울,웨슬리퀘스트 수원 현대건설 힐스테이트(수원실내체육관),스포츠관람,서울특별시 마포구  성암로 189 중소기업 DMC 타워 8층 웨슬리퀘스트,02-752-8041
서울,작가의 탄생,도서,서울특별시 용산구  청파로47길 90 숙명여자대학교 숙명여대 창업보육센터 302호,02-1522-3864
서울,(주)로망스투어,여행사,서울특별시 구로구  경인로53가길 10 구로대명벨리온 1304호,02-318-1664
서울,하이뮤직,음악,서울특별시 양천구  오목로42길 5 1층 하이뮤직,02-1661-5689
서울,(재)서울문화재단 남산예술센터,공연,서울특별시 중구  소파로 138 남산예술센터,02-758-2150
서울,티머니(시외버스),교통수단,서울특별시 중구  후암로 110 서울시티타워빌딩 10층 ,1644-3070
서울,쏙쏙체험(주식회사 쏙쏙),여행사,서울특별시 광진구  능동로 318 정우빌딩 301호,02-2633-7131
서울,WATERGATE (워터게이트),체육용품,서울특별시 강남구  선릉로 524 선릉대림아크로텔 621호 ,070-4677-1102
서울,서울대운동용품,체육용품,서울특별시 관악구  관악로 1 서울대학교 71동 종합체육관 1층,02-880-5234
서울,리디북스(리디 주식회사),도서,서울특별시 강남구  테헤란로 325 어반벤차빌딩 10층,1644-0331
서울,서울돈화문국악당((주)인사이트모션 서울돈화문국악당),공연,서울특별시 종로구  율곡로 102 ,02-3210-7001
서울,승우여행사,여행사,서울특별시 용산구  한강대로 162-2 202호,02-720-8311
서울,웨슬리퀘스트 서울 우리카드 위비(서울장충체육관),스포츠관람,서울특별시 마포구  성암로 189 중소기업 DMC 타워 8층웨슬리퀘스트,02-752-8041
서울,(주)모두투어네트워크,여행사,서울특별시 중구  을지로 16 프레지던트호텔 백남빌딩 5층,02-755-6776
서울,웨슬리퀘스트 성남 한국도로공사 하이패스 (성남실내체육관),스포츠관람,서울특별시 마포구  성암로 189 중소기업 DMC 타워 8층 웨슬리퀘스트,02-752-8041
서울,웨슬리퀘스트 인천 흥국생명핑크스파이더스(인천계양체육관),스포츠관람,서울특별시 마포구  성암로 189 중소기업 DMC 타워 8층 웨슬리퀘스트,02-752-8041
서울,웨슬리퀘스트 수원 한국전력빅스톰(수원실내체육관),스포츠관람,서울특별시 마포구  성암로 189 중소기업 DMC 타워 8층 웨슬리퀘스트,02-752-8041
서울,KCDF온라인숍 공예정원,미술,서울특별시 종로구  율곡로 53 해영회관 5층,1588-7915
서울,떠나요닷컴(숙박)(주식회사 떠나요),숙박,서울특별시 성동구  광나루로6길 54 2층,02-813-0960
서울,여기어때((주)여기어때컴퍼니),숙박,"서울 강남구 봉은사로 479, 11층(삼성동, 479타워) ",1544-4087
