가맹점명,소재지도로명주소,위도,경도,카테고리,메뉴
이마트24 자양우성점,서울특별시 광진구 능동로10길 109 1층 (자양동),37.535516,127.0754153,편의점,
이마트24 자양한강점,서울특별시 광진구 자양번영로 11 1층 104호 105호 (자양동),37.5306898,127.0747055,편의점,
이마트24 장로회신학대점,서울특별시 광진구 광장로5길 25-1 1층,37.5503212,127.1035932,편의점,
이마트24 중곡면목로점,서울특별시 광진구 면목로 136-1 1층 우측2칸,37.5655843,127.0812468,편의점,
이마트24 중곡아차산점,서울특별시 광진구 영화사로3가길 25 1층,37.5574267,127.0936612,편의점,
이마트24 중곡용마로점,서울특별시 광진구 용마산로 183 1층,37.5699631,127.0858456,편의점,
이마트24 중곡하나점,서울특별시 광진구 동일로70길 53 1층 102호,37.5639869,127.079761,편의점,
이마트24 중곡하나점,서울특별시 광진구 동일로70길 53 1층 102호,37.5639869,127.079761,편의점,
이마트24 한강수영장 뚝섬점,서울특별시 광진구 자양로 112 .,37.5376708,127.0836714,편의점,
이마트24 호반중한점,서울특별시 광진구 능동로 69 1층 104호 105호 일부,37.5375017,127.068975,편의점,
이마트24R건국대레이크홀,서울특별시 광진구 능동로 120 기숙사레이크홀,37.5427622,127.0767969,편의점,
이마트24군자CGV,서울특별시 광진구 능동로 285 (군자동),37.55552095,127.0781906,편의점,
이마트24자양우성점,서울특별시 광진구 능동로10길 109 1층,37.535516,127.0754153,편의점,
이마트24중곡하나점,서울특별시 광진구 동일로70길 53 1층 102호,37.5639869,127.079761,편의점,
이마트24중곡하나점,서울특별시 광진구 동일로70길 53 1층 102호,37.5639869,127.079761,편의점,
이마트24 광나루역점,서울특별시 광진구 천호대로 808 107호,37.5449906,127.1028762,편의점,
이마트24 광진구민체육센터점,서울특별시 광진구 구천면로 14 2층,37.5459846,127.1068251,편의점,
이마트24 광진구의점,서울특별시 광진구 자양로 144 1층,37.5404367,127.0836376,편의점,
이마트24 광진삼성쉐르빌점,서울특별시 광진구 구의강변로 106 113호,37.539821,127.0949267,편의점,
이마트24 광진워커힐점,서울특별시 광진구 아차산로 633 지하1층,37.5491803,127.1076131,편의점,
이마트24 광진코지웰점,서울특별시 광진구 능동로19길 35 지하1층,37.5469485,127.0717433,편의점,
이마트24 광진코지웰점,서울특별시 광진구 능동로19길 35 능동로 B102호 19길주상복합 (화양동),37.5469485,127.0717433,편의점,
이마트24 광진클래식점,서울특별시 광진구 능동로 90 지층 102호,37.5383642,127.0709332,편의점,
이마트24 광진프라임점,서울특별시 광진구 동일로 92-1 1층,37.5408031,127.0637174,편의점,
이마트24 광진화양점,서울특별시 광진구 아차산로25길 77 (화양동),37.5447756,127.0681377,편의점,
이마트24 광진화양점,서울특별시 광진구 아차산로25길 77 (화양동),37.5447756,127.0681377,편의점,
이마트24 광진화양점,서울특별시 광진구 아차산로25길 77 (화양동),37.5447756,127.0681377,편의점,
이마트24 광진화양점,서울특별시 광진구 아차산로25길 77 (화양동),37.5447756,127.0681377,편의점,
이마트24 구의강변점,서울특별시 광진구 구의강변로 64 1층108호(구의아크로리버),37.5357842,127.0925654,편의점,
이마트24 구의르네점,서울특별시 광진구 광나루로39길 7 1층 101호,37.5453263,127.0890549,편의점,
이마트24 구의사거리점,서울특별시 광진구 자양로 211 101호,37.5462057,127.0862603,편의점,
이마트24 군자CGV,서울특별시 광진구 능동로 285 군자동,37.5554778,127.0781906,편의점,
이마트24 능동점,서울특별시 광진구 천호대로122길 33 1층 1호 (능동),37.5521346,127.0874215,편의점,
이마트24 능동점,서울특별시 광진구 천호대로122길 33 1층 1호,37.5521346,127.0874215,편의점,
이마트24 서울어린이대공원 정문점,서울특별시 광진구 능동로 216 서울어린이대공원 내,37.5492071,127.0817308,편의점,
이마트24 세종대광개토관점,서울특별시 광진구 능동로 209 광개토관 B10호 (군자동 세종대학교),37.5514603,127.0737245,편의점,
이마트24 세종대기숙사점,서울특별시 광진구 군자로 121 지하1층,37.5533892,127.0726707,편의점,
이마트24 세종대율곡관점,서울특별시 광진구 능동로 209 지하1층 B105호,37.5514603,127.0737245,편의점,
이마트24 세종대후문점,서울특별시 광진구 군자로 133 1층,37.5539591,127.074101,편의점,
이마트24 자양스타점,서울특별시 광진구 자양로13길 47 1층,37.534170332,127.08189442,편의점,
세븐일레븐 화양리점,서울특별시 광진구 동일로30길 52 (화양동),37.5474049,127.0701986,편의점,
세븐일레븐 화양르네상스점,서울특별시 광진구 동일로24길 27 1층,37.5437457,127.0666568,편의점,
세븐일레븐 화양공원점,서울특별시 광진구 광나루로14길 27 (화양동),37.5469504,127.068552,편의점,
세븐일레븐 중곡프리미엄점,서울특별시 광진구 긴고랑로 60 1층 (중곡동),37.5619011,127.082673,편의점,
조마루뼈다귀감자탕,서울특별시 광진구 아차산로 208 대양빌딩,37.5410411,127.0664642,감자탕,"뼈다귀전골(대): 45,000원; 뼈다귀전골(중): 38,000원; 뼈다귀전골(소): 30,000원; 뼈다귀해장국: 10,000원; 뚝배기불고기: 11,000원"
