가맹점명,소재지도로명주소,위도,경도,카테고리,메뉴
이마트24 장안라보니타점,서울특별시 동대문구 장한로26가길81,37.56830345,127.0702423,편의점,
이마트24 장안미소점,서울특별시 동대문구 장한로10길25-2,37.56494119,127.0689257,편의점,
이마트24 장안스타점,서울특별시 동대문구 한천로2길77,37.56270357,127.0628412,편의점,
이마트24 장안신부점,서울특별시 동대문구 장한로36길15,37.57769707,127.0731372,편의점,
이마트24 전농배봉로점,서울특별시 동대문구 서울시립대로118,37.58085227,127.0517452,편의점,
이마트24 전농사거리점,서울특별시 동대문구 사가정로122,37.57721146,127.0585178,편의점,
이마트24 제기약령시,서울특별시 동대문구 고산자로505-1,37.58491576,127.0383332,편의점,
이마트24 제기현대점,서울특별시 동대문구 정릉천동로90,37.58047851,127.0356164,편의점,
이마트24 청랑리태양점,서울특별시 동대문구 제기로28길9,37.58639653,127.0447454,편의점,
이마트24 청량리수산시장점,서울특별시 동대문구 왕산로30길18,37.57773409,127.0405086,편의점,
이마트24 청량리신역사점,서울특별시 동대문구 제기로38길14,37.58529253,127.0503868,편의점,
이마트24 청량리타운점,서울특별시 동대문구 왕산로40길8,37.57965439,127.0450919,편의점,
이마트24 휘경베스트점,서울특별시 동대문구 장안벚꽃로5길19,37.58206614,127.0741587,편의점,
이마트24 휘경스타점,서울특별시 동대문구 망우로14,37.58764617,127.0551239,편의점,
이마트24외대앞역,서울특별시 동대문구 휘경로18-1,37.59555714,127.0618864,편의점,
이마트24외대앞역,서울특별시 동대문구 휘경로18-1,37.59555714,127.0618864,편의점,
이마트24장안빌리지점,서울특별시 동대문구 답십리로292-3,37.57174004,127.0730012,편의점,
이마트24장안쉐르빌점,서울특별시 동대문구 장한로21길20,37.57028602,127.069131,편의점,
이마트24장안은하수점,서울특별시 동대문구 답십리로271-3,37.57288282,127.0704966,편의점,
이마트24청량리타운점,서울특별시 동대문구 왕산로40길8,37.57965439,127.0450919,편의점,
지에스25 (GS25) 장안사랑점,서울특별시 동대문구 장한로18길19,37.56776074,127.0699774,편의점,
지에스25 답십리센터점,서울특별시 동대문구 사가정로5길1,37.5761763,127.0551781,편의점,
지에스25 장안골든점,서울특별시 동대문구 천호대로91길89,37.56550422,127.070628,편의점,
지에스25 장안뉴러브점,서울특별시 동대문구 장한로26가길29,37.57046733,127.0715626,편의점,
지에스25 장안썬앤빌점,서울특별시 동대문구 장한로91,37.5691798,127.0693938,편의점,
지에스25 전농시립대로점,서울특별시 동대문구 서울시립대로18길28,37.58024924,127.0529529,편의점,
지에스25 청계푸르지오점,서울특별시 동대문구 천호대로257,37.56897599,127.0505598,편의점,
지에스25 청량리시조사점,서울특별시 동대문구 왕산로287,37.58619429,127.0515983,편의점,
지에스25 카이스트원룸점,서울특별시 동대문구 회기로118,37.59133282,127.0496761,편의점,
지에스25(GS25) 동대문신설,서울특별시 동대문구 한빛로24,37.57763927,127.025611,편의점,
지에스25(GS25) 동대문한신점,서울특별시 동대문구 황물로42,37.57332746,127.0462046,편의점,
지에스25(GS25) 신설으뜸점,서울특별시 동대문구 왕산로2길34,37.57490337,127.0260088,편의점,
지에스25(GS25) 외대휘경,서울특별시 동대문구 휘경로30,37.59491031,127.0632647,편의점,
지에스25(GS25) 장안스타본점,서울특별시 동대문구 천호대로89길16,37.5624689,127.0684924,편의점,
지에스25(GS25) 전농중앙점,서울특별시 동대문구 전농로124,37.57589148,127.0578761,편의점,
지에스25(GS25)답십리래미안점,서울특별시 동대문구 답십리로130,37.57285652,127.0524351,편의점,
지에스25(GS25)장안월드점,서울특별시 동대문구 장한로8길84,37.56270508,127.0710249,편의점,
지에스25(GS25)청계힐스테이트,서울특별시 동대문구 천호대로55길11,37.5715363,127.046159,편의점,
지에스25이문래미안점,서울특별시 동대문구 이문로12길3-7,37.59378489,127.0588399,편의점,
지에스25전농SK점,서울특별시 동대문구 사가정로148,37.57665944,127.0615345,편의점,
지에스(GS)25 뉴전농공원점,서울특별시 동대문구 서울시립대로12길37,37.57803256,127.0518149,편의점,
지에스(GS)25 신설본점,서울특별시 동대문구 하정로18,37.57260468,127.0269783,편의점,
지에스(GS)25 신이문대림점,서울특별시 동대문구 이문로54길46,37.60543484,127.0644467,편의점,
지에스(GS)25 신이문로,서울특별시 동대문구 신이문로37,37.60319651,127.0662528,편의점,
지에스(GS)25 용두동아,서울특별시 동대문구 무학로111,37.57423683,127.0304213,편의점,
지에스(GS)25 용두래미안점,서울특별시 동대문구 한빛로49,37.57893413,127.0281414,편의점,
지에스(GS)25 이문회기점,서울특별시 동대문구 회기로25길54,37.59210134,127.0567549,편의점,
지에스(GS)25 장안벤처빌,서울특별시 동대문구 장한로85,37.56851729,127.0688024,편의점,
지에스(GS)25 장안중앙점,서울특별시 동대문구 장한로2길7,37.56237718,127.0660033,편의점,
지에스(GS)25 제기롯데점,서울특별시 동대문구 정릉천동로58,37.57716357,127.0358094,편의점,
지에스(GS)25 청량사랑점,서울특별시 동대문구 홍릉로3길6-1,37.58190827,127.0441348,편의점,
지에스(GS)25 회기하트리움점,서울특별시 동대문구 망우로46,37.58876622,127.0588577,편의점,
지에스(GS)25 휘경제이스카이,서울특별시 동대문구 망우로21나길6,37.59050199,127.0607155,편의점,
저기압일때 고기앞으로,서울특별시 동대문구 홍릉로65,37.58602666,127.0430971,"육류,고기요리","생삼겹: 12,000원; 생목살: 12,000원; 제육볶음(안주): 15,000원; 김치찌개: 6,000원; 된장찌개: 6,000원; 제육볶음(점심): 2인이상"
전골마을,서울특별시 동대문구 경희대로1가길42,37.59296525,127.0521126,"찌개,전골","갈비전골: 15,000원; 육개장: 8,000원; 곱창전골: 15,000원; 불낙전골: 12,000원; 만두전골: 11,000원"
전농기사식당,서울특별시 동대문구 서울시립대로75,37.57825298,127.0478496,기사식당,"순두부찌개: 7,000원; 김치찌개: 8,000원; 부대찌개: 9,000원; 생선구이: 10,000원; 돼지불백: 12,000원; 제육볶음: 10,000원"
전농동 해물알탕전문,서울특별시 동대문구 장한로2길7,37.56237718,127.0660033,"매운탕,해물탕","해물알탕 中: 38,000원; 해물동태탕 中: 36,000원; 해물알탕 小: 30,000원; 해물알탕 大: 48,000원; 고니추가: 10,000원; 해물동태탕 소: 29,000원; 해물알+동태탕(중): 38,000원; 해물알+동태탕(대): 48,000원; 알추가: 10,000원; 동태추가: 10,000원"
전농숯불돼지갈비,서울특별시 동대문구 전농로15길34,37.57753982,127.0555458,"육류,고기요리",숯불돼지갈비 1인분: 돼지숯불갈비 명품 천연자연소스 와 숙성의 과정을 거친 자연의 맛을 느낄실수 있습니다
