가맹점명,소재지도로명주소,위도,경도,카테고리,메뉴
시바카야 라카세,서울특별시 마포구 독막로9길 3,37.54857675,126.9194179,이자카야,"라카세나베: 25,000원; 오뎅나베: 22,000원; 치킨난반: 13,000원; 야끼소바: 15,000원; 오코노미야키: 14,000원; 햄카츠: 12,000원; 타코야끼: 6,000원; 이소베아게: 8,000원; 사와: 일본맛 그대로 느낄수 있는 사와"
스키당,서울특별시 마포구 백범로20길 12,37.54642868,126.9439491,샤브샤브,"관서식 1인 스키야키: 일본 간사이 지방에서 시작된 요리로 자작하게 볶아 계란과 함께 먹는 일본식 불고기 입니다.; 일본식 1인 샤브샤브: 최상급 가쓰오브시로 감칠 맛을 낸 일본식 샤브샤브입니다. 2가지 스키당 소스가 제공됩니다.; 가라아게 (닭다리살 튀김): 일본 전통방식으로 튀긴 닭다리살 튀김 요리; 이까게소 (오징어다리튀김): 후추 전분에 오징어 다리를 튀긴 일본식 튀김 요리(와사비 마요와 제공 - 200g); 큐리 타다키: 일본식 새콤 달콤한 드레싱으로 오이를 무친 요리, 스키야키와 궁합이 좋은 메뉴; 양송이와 일본식 새우튀김: 양송이와 노바시 새우를 일본 방식으로 튀겨 스키당 특제 타르타르 소스와 함께 즐기는 요리; 매콤문어무침: 19,000원; 6종 하이볼: 6가지 맛의 하이볼 (진저에일, 자몽, 블루하와이안, 얼그레이, 유자, 청포도); 청포도 에이드: 스키당의 수제 에이드; 자몽 에이드: 스키당 수제 에이드; 레몬 에이드: 스키당 수제 에이드"
스타반점,서울특별시 마포구 월드컵로36길 52,37.5684546,126.9058078,중식당,스타탕수육: 연근.브로컬리.목이버섯등 건강한 식재료로 맛을 낸 스타반점 시그니처메뉴; 짜장면: 돼지고기와 양파만 넣고 볶은 성산동 최고의 짜장 탕수육과 환상의 조합; 해물짬뽕: 갖가지 해산물이 가득한 해물짬뽕 잊을 수 없는 시원한 국물맛; 차돌짬뽕: 우삼겹이 아닌 차돌박이만 넣은 진한 국물맛; 해물쟁반짜장: 짜장면 위에 갖가지 해산물과 채소를 볶아 푸짐하게 얹어낸 가성비 최고 메뉴; 칠리중새우: 새콤달콤매콤한 맛의 조화가 일품인 칠리중새우; 깐풍중새우: 알싸한 마늘향이 오동통한 중새우를 만나 입안에 가득 퍼지는 극강의 맛; 크림중새우: 아이들이 좋아하는 부드럽고 달콤한 크림소스맛을 볼 수 있는 새우요리; 사천탕수육: 사천지방 특유의 매콤한 탕수육; 낙지짬뽕: 낙지가 한마리 통째로 들어가 해산물 좋아하시는 고객님의 입맛을 사로 잡을 메뉴; 해물우동: 시원하고 담백한 국물이 일품 해물과 채소가 듬뿍듬뿍; 잡채밥: 오동통한 당면에 갖가지 재료가 어우러진 조화로운 맛 서울에서 최고라 자부하는 맛; 특밥: 특별한 밥!특밥!! 두반장소스가 첨가된 매콤한 해산물 덮밥; 새우볶음밥: 마늘쫑을 넣은 고소한 볶음밥 계란후라이를 올려 보기에도 좋고 맛도 좋은 메뉴; 양장피: 낙지가 통째로 한마리 딱~ 푸짐하고 깔끔하게 톡쏘는 양장피 술안주로 술술
스탠딩박스,서울특별시 마포구 동교로36길 7,37.56127563,126.9247131,이자카야,"우삼겹야끼소바: 스탠딩박스만의 특별한 소스로 만든 야끼소바; 오이무침: Best; 아사히 엑스트라 콜드 (프리미엄): 7,000원; 산토리 가쿠빈 하이볼: 7,000원; 스탠딩박스 오뎅: 12,000원; 아사히 아퀼라 엑스트라 콜드(흑맥주): 7,500원; 규스지: 8,500원; 물떡이: 3,000원; 수제 치킨 가라아게: 9,500원; 가지튀김: 가지와 고기의 조합; 스박샐러드: 11,000원; 스박카도: 9,000원; 감자사라다: 아삭한 야채와 달달한 감자가 만난 일본식 셀러드; 타코와사비: 9,500원; 닭껍질교자: 8,000원"
스테이(STAY),서울특별시 마포구 동교로 176,37.5561752,126.9216851,양식,"차돌샐러드파스타: 각종 채소에 우삼겹과 방울토마토, 수제 드레싱으로 만든 냉 파스타; 살치살스테이크: 육향이 가득하고 육즙이 터지는 살치살스테이크; 명란바질오일파스타: 바질페스토와 명란이 들어간 오일 파스타; 통베이컨로제리조또: 특제 로제 소스로 만든 통베이컨 로제 리조또; 쉬림프 로제 파스타: 새우와 특제 로제 소스로 만든 파스타; 큐브스테이크 시저 샐러드: 당일 작업한 신선한 채소에 부채살 160g과 양파슬라이스, 베이컨 칩이 올라간 시저 샐러드; 쉬림프 바질 크림 리조또: 새우와 바질 페스토가 들어간 크림 리조또; 차돌미소크림파스타: 미소 된장과 차돌이 들어간 크림 파스타; 페퍼로니피자: 페퍼로니를 올린 페스츄리 피자; 수제등심돈까스: 국내산 돼지고기 등심으로 만든 수제 돈까스; 포테이토골드피자: 웨지 감자와 나쵸가 올라간 페스츄리 피자; 트리플치즈피자: 체다치즈, 고르곤졸라, 모짜렐라 치즈를 넣은 페스츄리 피자; 해물 오징어 먹물 리조또: 새우, 오징어, 그린홍합이 들어간 오징어 먹물 리조또; 해물오일파스타: 그린홍합, 새우, 오징어가 들어간 매콤한 오일파스타; 새우베이컨토마토파스타: 수제 토마토 소스로 만든 파스타"
스테이크 슈퍼,서울특별시 마포구 독막로7길 62,37.55044175,126.920387,양식,"패밀리Set: 부채살300g+토시살300g+살치살300g+등심300g 베스트메뉴4가지-총1.2kg!!; 부채살 스테이크: 가성비 최고!! 터지는 육즙!! 미국산 부채살입니다.; 토시살스테이크: 소고기에서 가장 부드러운 토시살을 제대로 구워냈습니다.; 살치살스테이크: 등심에서 분리한 살코기로 적절한 기름기와 조화가 일품; 등심스테이크: 등심을 습식숙성하여 부드럽고 풍부한 육즙을 머금은 스테이크로 구워냈습니다.; 바베큐립: 엄선한 갈비부위를 특제 양념으로 맛을 내고 그릴에서 불맛을 입힌 오리지널 백립입니다.; 연어샐러드: 건강한 훈제연어,매일 아침 손질한 신선한 채소를 키유스테이크만의 소스와 즐겨보세요.; 토마호크스테이크: 꽃등심+새우살+갈비살 3가지 부위를 동시에 맛볼수 있는 토마호크스테이크; 메이슨자 샐러드(80g): 8,000원; 하몽샐러드: 인고의 시간을 견뎌낸 생햄,하몽을 신선한 채소와 함께 즐겨보세요; 볼로네제 스파게티: 바질의 풍미가 은은하게 느껴지며 미트소스와 토핑이 듬뿍 들어있는 볼로네제 스파게티를 즐겨보세요!; 감자튀김: 케찹 없이도 맛있는 웨지감자튀김! 아이들 간식,맥주안주로 모두 좋습니다.; 핫윙: 10,000원; 갈릭크림바게트볼: 마늘의 달콤함과 버터의 고소함이 만드는 담백한 조합"
스테이크바이앵거스,서울특별시 마포구 토정로 320,37.53935548,126.9439469,"스테이크,립","블랙앵거스 채끝등심스테이크: 블랙앵거스꽃등심스테이크는 스테이크부위중 가장 마블링이 좋고 담백함과 부드러움을 가지고있다; 마레비안코 오일파스타: 모시,바지락, 홍합,갑오징어,새우,표고,송이,브로콜리, 엑스트라버진 올리브와 트러플오일로 맛을 더한 해산물 오일파스타; 앵거스 스페셜 세트 A (2 인 기준): 스페셜 세트A ( 2인기준) 식전빵과 샐러드 - 안심과 등심 +디져트or커피 = 10%"
스텐다드블랙,서울특별시 마포구 망원로3길 35-1,37.55818846,126.9005929,양식,"페페로니 라자냐: 푸짐한 라구소스와 2가지 치즈를 아낌없이 넣어만들 베셔멜소스, 쫄깃한 미니페페로니의 조화; 이베리코 플루마 스테이크: 최고등급의 베요타중에서도 가징맛있는 삼각살!!!훈연향, 포트와인소스; 전복타코: 싱싱한활전복으로 만든 타코, 상상할수 없는맛!!!; 굴 그라탱: 싱싱한 굴의 육즙이 꼬득한 화이트소스, 바삭한 크럼블과함께 입안가득; 샤넬꽃 버터&빵: S:24000 L 30000 스블의 시그니쳐!!! 화려한 샤넬 꽃밭"
스트로베리32(Strawberry32),서울특별시 마포구 연남로5길 6-6,37.56251478,126.921277,베이커리,딸기케이크 1호(12월13일부터): 32개의 딸기가 들어간 1호사이즈 홀케이크입니다.; 딸기케이크 미니(12월13일부터): 딸기케이크 미니사이즈입니다(가로 세로 12cm); 망고케이크 1호: 생망고와 동물성 생크림으로 만든 홀케이크입니다. (여름~가을 시즌메뉴); 망고케이크 미니: 망고케이크 미니사이즈입니다(가로 세로 12cm)
스파다,서울특별시 마포구 잔다리로 109,37.55666436,126.914095,이탈리아음식,"Bread: 매일 아침 직접 구운 무화과 사워도우 빵, 잠봉 햄, 버터; Polpo tartar: 참문어, 알감자, 이베리코 초리조, 올리브 크래커; Beef carpaccio: 한우 1++ 홍두깨, 와일드 루꼴라, 아이올리 소스; Melanzane: 그릴에 구운 가지, 시금치 리코타 치즈, 토마토 소스; Salsiccia: 이베리코 소세지, 매쉬 포테이토, 초리조 오일, 선드라이 토마토; Capesante: 오븐에 구운 가리비, 빵가루, 선드라이 토마토, 레몬 드레싱; Insalata di mela: 홍로 사과, 와일드 루꼴라, 고트치즈, 잠봉, 머랭 마카다미아, 비네거 드레싱; Gnocchi: 팬에 구운 감자 뇨끼, 트러플 크림 소스; Calabrese: 깐놀리키 숏면, 이탈리안 소세지, 4가지 버섯, 토마토 소스, 바질, 페페론치노; Special pasta: 변동되는 생면파스타; Vongole: 스파게티, 바지락, 모레스카 올리브 오일, 이탈리안 파슬리, 바질, 애호박; Controfilleto (150g): 웻 에이징 암소 한우 1++ 채끝 등심 스테이크; Controfilleto (200g): 웻 에이징 암소 한우 1++ 채끝 등심 스테이크; Semifreddo: '반쯤 차가운' 이라는 뜻의 이탈리안 스타일의 아이스크림"
스푼,서울특별시 마포구 양화로6길 57-12,37.54906698,126.9178491,이탈리아음식,"계란 소스 까르보나라: 수제 베이컨과 양젖치즈로 맛을 내고 계란소스를 입힌 파스타; 중화 두반장 페투치니: 고소한 소젖치즈 두반장소스의 감칠맛 위에 예쁘게 삶은 수란을 올려 맵싹하게 즐기는 파스타; 로제 라구 뇨끼: 몽근하게 끓어낸 라구소스에 크림을 넣어 고소한 풍미를 가득 느낄 수 있는 로제라구뇨끼; 페코리노 리가토니: 양젖치즈로 맛을 낸 크림파스타위에 프로슈토와 루꼴라 토핑을 올린 숏파스타; 고르곤졸라 크림 뇨끼: 고르곤졸라의 고소한 맛과 향 그리고 팬에 구워 쫄깃하고 부드러운 식감의 뇨끼가 일품인요리; 브레드&풀드포크: 바베큐소스로 몽근하게 졸인 돼지고기와 빵을 함께 곁들어 이상적인 궁합의 브레드&풀드포크; 통베이컨 스테이크: 통베이컨 하나를 통째로 익혀 베이컨특유의 맛과 향을 살리고 가니쉬를 더해 선사합니다.; 하와이안 블루 레몬 에이드: 블루레몬만의 상큼한 향과 탄산수를 더해 청량감까지 같이 즐길 수 있는 새콤상콤한 에이드; 자몽 에이드: 쌉싸름한 자몽향 뒤에 달작지근하게 올라오는 맛, 탄산수의 청량감을 같이 즐겨보세요; 청포도 에이드: 청포도의 새콤달콤함과 기분 좋은 포도향 그리고 탄산의 청량감을 여유롭게 즐겨보세요"
