가맹점명,소재지도로명주소,카테고리,메뉴
조마루뼈다귀감자탕,서울특별시 광진구 아차산로 208 대양빌딩,감자탕,"뼈다귀전골(대): 45,000원; 뼈다귀전골(중): 38,000원; 뼈다귀전골(소): 30,000원; 뼈다귀해장국: 10,000원; 뚝배기불고기: 11,000원"
조서방순대국,서울특별시 광진구 긴고랑로 88 1층(중곡동),"순대,순댓국","순대국: 9,000원; 특순대국: 10,000원; 술국: 17,000원; 미니수육: 15,000원; 수육 소: 23,000원; 수육 중: 27,000원; 수육 대: 30,000원; 새콤달콤매콤 껍데기무침 소: 11,000원; 새콤달콤매콤 껍데기무침 중: 14,000원; 새콤달콤매콤 껍데기무침 대: 17,000원; 1인세트 순대국+껍데기무침: 14,000원; 2인세트 순대국2+껍데기무침: 23,000원; 조서방스페셜 수육+술국+껍데기무침: 45,000원; 소주: 5,000원; 막걸리: 4,000원"
조선한식,서울특별시 광진구 뚝섬로32길 9 1층 (자양동),한식,
조용한주택,서울특별시 광진구 동일로24길 24 1층1호,"스파게티,파스타전문",채끝등심 스테이크: 쫄깃한 식감과 고소한 맛을 내기위해 숙성시킨 채끝등심 스테이크 입니다.; 파리지앵 시금치 뇨끼: 감자로 만들어지는 이탈리아식 뇨끼가아닌 치즈와 버터가 주재료인 프랑스식 뇨끼; 화이트라구 파스타: 소고기와 야채 재료를넣고 직접끓인 닭육수와 오래 끓여낸 소스와 버무려진 파스타; 머쉬룸 파스타: 감칠맛 나게 볶은 버섯과 버섯 육수로 만든 크림소스와 함께먹는 파스타; 홍게 비스큐 파스타: 홍게를 이용해 만든 녹진한 갑각류 소스의 비스큐 파스타
조전네,서울특별시 광진구 긴고랑로22길 23 23-6 1층,"전,빈대떡","모듬전: 25,000원; 매콤고기전: 15,000원; 부추전: 10,000원; 김치전: 10,000원; 파전: 18,000원"
조하푸드,서울특별시 광진구 용마산로1길 47 1층 (중곡동),기업,
조현우국밥,서울특별시 광진구 자양로13길 60 1층,국밥,"맑은 돼지국밥: 이북식 돼지국밥과 밀양식 돼지국밥의 조리방법을 섞은 맑은 돼지국밥입니다. 잡부위를 넣지 않고 살코리로만 깊은 맛을 낸 깔끔하고 맑은 돼지국밥입니다.; 칼칼 돼지국밥: 기본돼지국밥에 다진청양고추와, 허브오일 추출법을 응용한 청양고추기름을 추가한 메뉴입니다.; 돼지갈비탕: 한그릇 든든하게 드실 수 있는 돼지갈비탕입니다. 소갈비탕과 비슷한 맛입니다. 하루 15그릇 한정입니다; 고사리해장국(4월부터9월까지): 제주도 고사리육개장보다 좀더 고기와 고사리를 으꺠 부드럽게 만든 해장국입니다.; 조현우국밥식 순대국밥(10월부터3월): 우거지, 들기름넣고 푹 끓인 순대국밥입니다.; 돼지안심구이: 돼지안심구이 200g 과 어울리는 제철 재료로 만든 술안주 메뉴입니다.; 갈비수육: 돼지갈비 13-14대 .제철 채소. 들깨 초장과 같이 서브 됩니다.; 접시수육: 6,000원; 편육: 편육 10점; 주류: 소주.맥주.잔술 있습니다. 각종주류 예약시 준비해드립니다.(콜키지 안됩니다"
족발만족,서울특별시 광진구 동일로22길 86 1층(화양동),"족발,보쌈",
족발명가,서울특별시 광진구 아차산로62길 14-2 (구의동),"족발,보쌈","뼈해장국: 10,000원; 감자탕: 28,000원; 보쌈: 39,000원; 영양뼈찜: 45,000원; 족발: 39,000원; 보쌈 모듬: 60,000원; 바지락칼국수: 8,000원; 보쌈한접시: 14,000원"
족발삼합,서울특별시 광진구 자양로15길 95 1층 (자양동),한식,백반: 찬류 7가지 가성비 갑...맛있는 반찬 최고입니다.; 보쌈 ( 3인 ~ 4인 ): 보쌈 ( 3 ~4인 ) 보쌈 한상; 보쌈 ( 2~3인 ): 보쌈 (2인 ~3인) 보쌈 한상; 삼합: 남도 음식 제대로 즐김
