지역,가맹점명,분류,주소,전화번호
전북 ,헐리우드민박(팬션),숙박,전북 부안군 변산면 도청리162-1 ,063-583-7088
대구 ,(주)삼성여행사,여행사,대구광역시 중구  국채보상로 515 ,053-431-3000
서울 ,정보화마을 농촌체험,관광지,서울특별시 강남구  테헤란로25길 50 304호,1833-2990
서울 ,(주)하나투어,여행사,서울특별시 종로구  인사동5길 41 하나빌딩 ,1577-1233
서울 ,하나프리티켓,공연,서울특별시 종로구  인사동5길 41 하나빌딩 ,1566-6668
경기 ,티켓링크 공연,공연,경기도 성남시 분당구  대왕판교로645번길 16 NHN 플레이뮤지엄,1588-7890
서울 ,NH여행,여행사,서울특별시 서대문구  통일로 81 임광빌딩 ,1899-0582
서울 ,(주)롯데월드 아쿠아리움,관광지,서울특별시 송파구  올림픽로 300 ,1661-2000
서울 ,주식회사 호미화방,미술,서울특별시 마포구  홍익로3길 20 서교오피스텔 ,02-336-8181
서울 ,(주)피엠씨프러덕션 난타,공연,서울특별시 종로구  대학로 57 홍익대학교대학로캠퍼스 11층,02-739-8288
인천 ,부평구문화재단,공연,인천광역시 부평구  아트센터로 166 부평아트센터 ,032-500-2000
제주 ,제주특별자치도문화예술진흥원,공연,제주특별자치도 제주시  동광로 69 제주도문예회관 ,064-710-7641
서울 ,노원문화예술회관,공연,서울특별시 노원구  중계로 181 노원문화예술회관 ,02-2289-3400
경기 ,㈜창비(계간 창작과비평),도서,경기도 파주시  회동길 184 창비 ,031-955-3333
경기 ,㈜창비(문학3),도서,경기도 파주시  회동길 184 창비 ,031-955-3333
서울 ,(주)신시컴퍼니,공연,서울특별시 서초구  논현로5길 31-14 예일빌딩 ,02-577-1987
서울 ,재단법인 세종문화회관,공연,서울특별시 종로구  세종대로 175 ,02-399-1000
서울 ,(재)마포문화재단,공연,서울특별시 마포구  대흥로20길 28 마포아트센터 ,02-3274-8500
서울 ,아르코예술극장,공연,서울특별시 종로구  대학로8길 7 한국문예회관 ,02-3668-0007
경기 ,㈜창비,도서,경기도 파주시  회동길 184 창비 ,031-955-3333
부산 ,금정문화회관,공연,부산광역시 금정구  체육공원로 7 금정문화회관 ,051-519-5651
서울 ,정태영삼(㈜스마트인피니),여행사,서울특별시 강남구  압구정로42길 27 한국종합기술개발공사 3층,1661-9339
경남 ,롯데시네마 진주엠비씨네(온라인),영상,경남 진주시 가호로 13(가좌동) ,1544-8855
부산 ,초록배낭,여행사,"부산 연제구 월드컵대로 217, 2층 ",051-701-5006
서울 ,롯데컬처웍스㈜롯데시네마 건대입구(온라인),영상,서울특별시 광진구 아차산로 272 ,1544-8855
경북 ,롯데컬처웍스㈜롯데시네마 경산(온라인),영상,경상북도 경산시 강변동로 278 ,1544-8855
경기 ,롯데컬처웍스㈜롯데시네마 광교아울렛(온라인),영상,"경기도 수원시 영통구 도청로17번길 10수원시 영통로 도청로10, 롯데시네마광교아울렛 ",1544-8855
경기 ,롯데컬처웍스㈜롯데시네마 광명(광명사거리)(온라인),영상,경기도 광명시  오리로 970 크로앙스 ,1544-8855
경기 ,롯데컬처웍스㈜롯데시네마 광명아울렛(온라인),영상,경기도 광명시 일직로 17 ,1544-8855
부산 ,롯데컬처웍스㈜롯데시네마 광복(온라인),영상,부산광역시 중구 중앙대로 2시네마동 9층 ,1544-8855
경기 ,롯데컬처웍스㈜롯데시네마 광주터미널(온라인),영상,경기도 광주시 광주대로 30광주터미널 2층 ,1544-8855
경기 ,롯데컬처웍스㈜롯데시네마 구리아울렛(온라인),영상,"경기 구리시 인창동413-6419-7, 433-16, 133-18, 433-19 (6층일부,7층~8층)",1544-8855
경북 ,롯데컬처웍스㈜롯데시네마 구미공단(온라인),영상,"경상북도 구미시 산호대로 233공단동, 4층 일부, 5층~7층 전체 ",1544-8855
