지역,가맹점명,분류,주소
전북 ,한옥마을 아트홀,공연,전북 전주시 완산구 경기전길 42 (경원동2가) 
전북 ,경원장여관,숙박,전북 전주시 완산구 경기전길 8-5 
전북 ,사단법인교동아트,미술,전북 전주시 완산구 경기전길 89 교동아트미술관 (풍남동3가) 
전북 ,홍지서림 전주점,도서,전라북도 전주시 완산구  동문길 106 홍지서림 
전북 ,포토젠(사진관),미술,전북 전주시 완산구 전주객사4길 24-17  
제주 ,제주스카이워터쇼,공연,제주 제주시 구좌읍 번영로 2172-80 
제주 ,패밀리하우스,숙박,제주 제주시 구좌읍 상도로 3 
제주 ,와락게스트하우스,숙박,제주 제주시 구좌읍 세평항로 45-4 
제주 ,담너머그곳에,숙박,제주 제주시 구좌읍 하도3길 108 
전남 ,리츠모텔,숙박,전남 여수시 거북선공원1길 8 (학동)   
전남 ,허바허바사진관,미술,전남 여수시 동문로 46  
전남 ,동양표구사,미술,전라남도 여수시  하멜로 12 
전남 ,금화스튜디오,미술,전남 여수시 충민로 280-1 
전남 ,모텔리빙,숙박,전남 여수시 공화북2길 15 
전남 ,모텔스카이,숙박,전남 여수시 교동남1길 5-5 
전남 ,대한칼라스튜디오,미술,전남 여수시 중앙로 38  
전남 ,테마투어,여행사,"전남 여수시 진남상가길 2, 2층 "
전남 ,다이아모텔,숙박,전남 여수시 교동남1길 6-3 (교동) 
전남 ,에덴스튜디오,미술,전남 여수시 신월로 675-1 
전남 ,행복한이야기 스튜디오,미술,전남 여수시 국포1로 36 
전남 ,여수경도리조트(전남개발공사),숙박,전남 여수시 대경도길 111 (경호동) 
전남 ,여수엑스포역,교통수단,전남 여수시 덕충동 61번지   
전남 ,대박문구서점,도서,전남 여수시 덕충동 충민로 169   
전남 ,여수서림,도서,전남 여수시 덕충동1731-1 태창A503동지하 
전남 ,여수엑스포펜션,숙박,전남 여수시 돌산로 3394 (우두리) 
전남 ,보보스모텔,숙박,전남 여수시 돌산읍 강남6길 46 (우두리) 
전북 ,유한회사 궁,숙박,전북 남원시 주천면 원천로 291-21 (용담리) 
